region,zone_ugc,same_code,name,lon,lat,operational,source_url
PZ,PZZ110,057110,Grays Harbor Bar,-124.04,46.957,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ130,057130,West Entrance U.S. Waters Strait Of Juan De Fuca,-124.4717,48.3736,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ131,057131,Central U.S. Waters Strait Of Juan De Fuca,-123.6538,48.2151,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ132,057132,East Entrance U.S. Waters Strait Of Juan De Fuca,-122.948,48.2596,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ133,057133,Northern Inland Waters Including The San Juan Islands,-122.8031,48.6138,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ134,057134,Admiralty Inlet,-122.6729,48.0667,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ135,057135,Puget Sound and Hood Canal,-122.6094,47.5711,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ150,057150,Coastal Waters From Cape Flattery To James Island Out 10 Nm,-124.8435,48.2065,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ153,057153,Coastal Waters From James Island To Point Grenville Out 10 Nm,-124.5577,47.6192,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ156,057156,Coastal Waters From Point Grenville To Cape Shoalwater Out 10 Nm,-124.3062,47.0289,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ170,057170,Coastal Waters From Cape Flattery To James Island 10 To 60 Nm,-125.4961,48.1051,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ173,057173,Waters From James Island To Point Grenville 10 To 60 Nm,-125.4292,47.6093,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ176,057176,Coastal Waters From Point Grenville To Cape Shoalwater 10 To 60 Nm,-125.1249,47.0222,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ210,057210,Columbia River Bar,-123.7514,46.2309,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ251,057251,Coastal waters from Cape Shoalwater WA to Cape Falcon OR out 10 nm,-124.1232,46.2946,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ252,057252,Coastal waters from Cape Falcon to Cape Foulweather OR out 10 nm,-124.1115,45.2775,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ253,057253,Coastal waters from Cape Foulweather to Florence OR out 10 nm,-124.2174,44.404,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ271,057271,Waters from Cape Shoalwater WA to Cape Falcon OR from 10 to 60 nm,-124.936,46.2507,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ272,057272,Waters from Cape Falcon to Cape Foulweather OR from 10 to 60 nm,-124.8841,45.2709,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ273,057273,Waters from Cape Foulweather to Florence OR from 10 to 60 nm,-124.9727,44.3901,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ350,057350,Coastal waters from Florence to Cape Blanco OR out 10 nm,-124.4415,43.4236,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ356,057356,Coastal waters from Cape Blanco OR to Pt. St. George CA out 10 nm,-124.5003,42.3126,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
PZ,PZZ370,057370,Waters from Florence to Cape Blanco OR from 10 to 60 nm,-125.2069,43.4244,true,https://www.weather.gov/source/gis/Shapefiles/WSOM/mareas20fe25.txt
