2026-03-26 23:31:42,392 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065612-065532-065500+0010-0860531-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=20.14s | sr=16000
2026-03-26 23:37:34,942 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065612-065532-065500+0010-0860537-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=20.14s | sr=16000
2026-03-27 20:45:58,224 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065612-065532-065500+0010-0870245-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=20.14s | sr=16000
2026-03-27 20:47:37,086 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065612-065532-065500+0010-0870247-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=20.14s | sr=16000
2026-03-27 20:47:48,970 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065612-065532-065500+0010-0870247-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=20.07s | sr=11025
2026-03-27 20:53:20,485 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065612-065532-065500+0010-0870253-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=20.00s | sr=8000
2026-03-27 20:54:51,975 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065612-065532-065500+0010-0870254-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=20.00s | sr=8000
2026-03-27 20:56:13,904 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065612-065532-065500+0010-0870256-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=20.00s | sr=8000
2026-03-27 20:57:27,128 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065612-065532-065500+0010-0870257-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=20.00s | sr=8000
2026-03-27 21:26:48,958 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065612-065532-065500+0010-0870326-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=20.07s | sr=22050
2026-03-27 21:27:28,255 | SAME_GENERATED | header=ZCZC-WXR-TXP-065100-065612-065532-065500+0010-0870327-XLF323  - | tone=EGG_TIMER | attn=8.0s | audio=none | duration=20.07s | sr=22050
