CODE,SCALE,NAME,NOM
001,WB,Pacific Waters,Eaux du Pacifique
002,WB,Great Lakes,Grands Lacs
003,WB,Atlantic Waters,Eaux de l’Atlantique
004,WB,Inland Waters (Eastern Canada),Eaux intérieures (Est du Canada),,,,,,
005,WB,Hudson Bay and Baffin Island Waters,Eaux de la baie d'Hudson et de l'île de Baffin
006,WB,Northeastern Arctic Waters,Eaux du nord-est de l'Arctique
007,WB,Western Arctic Waters,Eaux de l'Arctique de l'ouest
008,WB,Inland Waters (Western Canada),Eaux intérieures (Ouest du Canada)
10,PT,Newfoundland and Labrador,Terre-Neuve-et-Labrador
11,PT,Prince Edward Island,Île-du-Prince-Édouard
12,PT,Nova Scotia,Nouvelle-Écosse
13,PT,New Brunswick,Nouveau-Brunswick
24,PT,Quebec,Québec
35,PT,Ontario,Ontario
46,PT,Manitoba,Manitoba
47,PT,Saskatchewan,Saskatchewan
48,PT,Alberta,Alberta
59,PT,British Columbia,Colombie-Britannique
60,PT,Yukon,Yukon
61,PT,Northwest Territories,Territoires du Nord-Ouest
62,PT,Nunavut,Nunavut
00111,WBD,Juan de Fuca Strait,détroit de Juan de Fuca
00112,WBD,Haro Strait,détroit de Haro
00113,WBD,Strait of Georgia,détroit de Georgie
00114,WBD,Howe Sound,baie Howe
00115,WBD,Johnstone Strait,détroit de Johnstone
00116,WBD,Queen Charlotte Strait,détroit de la Reine-Charlotte
00117,WBD,West Coast Vancouver Island North,île de Vancouver Ouest - partie nord
00118,WBD,West Coast Vancouver Island South,île de Vancouver Ouest - partie sud
00121,WBD,Queen Charlotte Sound,bassin Reine-Charlotte
00122,WBD,Central Coast from McInnes Island to Pine Island,côte centrale de l'île McInnes à l'Île Pine
00123,WBD,Douglas Channel,chenal marin de Douglas
00124,WBD,Hecate Strait,détroit d'Hécate
00125,WBD,Dixon Entrance East,entrée Dixon Est
00126,WBD,Dixon Entrance West,entrée Dixon Ouest
00127,WBD,West Coast Haida Gwaii,côte Ouest de Haida Gwaii
00128,WBD,North Coast Channels,chenaux de la côte nord
00131,WBD,Bowie,Bowie
00132,WBD,Explorer,Explorer
00221,WBD,Eastern Lake Erie,lac Érié Est
