List of all the Forecast Locations by Program / Liste de tous les emplacements de prévisions par programme,,,,,,
CODE,NAME,NOM,PROGRAMS,PROGRAMMES,PROVINCE/WATERBODY 2 PROVINCE/PLAN D'EAU 2,PROVINCE/WATERBODY MOD. PROVINCE/PLAN D'EAU MOD.
001110,Juan de Fuca Strait,détroit de Juan de Fuca,CAP-CP,PC-PAC,"BC,PC","BC,PC"
001110,Juan de Fuca Strait,détroit de Juan de Fuca,Marine,Marine,"BC,PC","BC,PC"
001111,Juan de Fuca Strait - east entrance,détroit de Juan de Fuca - entrée est,Marine,Marine,"BC,PC","BC,PC"
001112,Juan de Fuca Strait - central strait,détroit de Juan de Fuca - partie centrale,Marine,Marine,"BC,PC","BC,PC"
001113,Juan de Fuca Strait - west entrance,détroit de Juan de Fuca - entrée ouest,Marine,Marine,"BC,PC","BC,PC"
001120,Haro Strait,détroit de Haro,CAP-CP,PC-PAC,"BC,PC","BC,PC"
001120,Haro Strait,détroit de Haro,Marine,Marine,"BC,PC","BC,PC"
001130,Strait of Georgia,détroit de Georgie,Marine,Marine,"BC,PC","BC,PC"
001130,Strait of Georgia,détroit de Georgie,CAP-CP,PC-PAC,"BC,PC","BC,PC"
001131,Strait of Georgia - north of Nanaimo,détroit de Georgie - au nord de Nanaimo,Marine,Marine,"BC,PC","BC,PC"
001132,Strait of Georgia - south of Nanaimo,détroit de Georgie - au sud de Nanaimo,Marine,Marine,"BC,PC","BC,PC"
001140,Howe Sound,baie Howe,CAP-CP,PC-PAC,"BC,PC","BC,PC"
001140,Howe Sound,baie Howe,Marine,Marine,"BC,PC","BC,PC"
001150,Johnstone Strait,détroit de Johnstone,Marine,Marine,"BC,PC","BC,PC"
001150,Johnstone Strait,détroit de Johnstone,CAP-CP,PC-PAC,"BC,PC","BC,PC"
001160,Queen Charlotte Strait,détroit de la Reine-Charlotte,CAP-CP,PC-PAC,"BC,PC","BC,PC"
001160,Queen Charlotte Strait,détroit de la Reine-Charlotte,Marine,Marine,"BC,PC","BC,PC"
001170,West Coast Vancouver Island North,île de Vancouver Ouest - partie nord,CAP-CP,PC-PAC,"BC,PC","BC,PC"
001170,West Coast Vancouver Island North,île de Vancouver Ouest - partie nord,Marine,Marine,"BC,PC","BC,PC"
001180,West Coast Vancouver Island South,île de Vancouver Ouest - partie sud,CAP-CP,PC-PAC,"BC,PC","BC,PC"
001180,West Coast Vancouver Island South,île de Vancouver Ouest - partie sud,Marine,Marine,"BC,PC","BC,PC"
001210,Queen Charlotte Sound,bassin Reine-Charlotte,CAP-CP,PC-PAC,"BC,PC","BC,PC"
001210,Queen Charlotte Sound,bassin Reine-Charlotte,Marine,Marine,"BC,PC","BC,PC"
001211,Queen Charlotte Sound - NE,bassin Reine-Charlotte - N-E,Services,Services,"BC,PC","BC,PC"
001211-001212,Queen Charlotte Sound - eastern half,bassin Reine-Charlotte - moitié est,Marine,Marine,"BC,PC","BC,PC"
001211-001214,Queen Charlotte Sound - northern half,bassin Reine-Charlotte - moitié nord,Marine,Marine,"BC,PC","BC,PC"
001212,Queen Charlotte Sound - SE,bassin Reine-Charlotte - S-E,Services,Services,"BC,PC","BC,PC"
001212-001213,Queen Charlotte Sound - southern half,bassin Reine-Charlotte - moitié sud,Marine,Marine,PC,PC
