NAME,NOM,CAPCPGCODE,LAT_DD,LON_DD,WATRBODY_C,PROVINCE_C,COUNTRY_C
Teulon,,"4614042",50.38436368060,-97.25842469540,,MB,CA
Woodstock,,"1311006",46.15158965400,-67.59118550600,,NB,CA
Bjorkdale,,"4714041",52.71053854980,-103.64647734700,,SK,CA
Denare Beach,,"4718049",54.65456529240,-102.07484730900,,SK,CA
Cupids,,"1001437",47.56508070130,-53.19461892970,,NL,CA
,Blanc-Sablon,"2498005",51.48484057000,-57.22295834810,,QC,CA
"Parry Sound, Unorganized, Centre Part",,"3549096",45.85862120300,-80.29886116500,,ON,CA
,La Pêche,"2482035",45.70342740990,-76.06102681830,,QC,CA
Minitonas,,"4620039",52.08721855440,-101.03843559400,,MB,CA
Greenwich,,"1305038",45.51119997670,-66.12286976660,,NB,CA
Aquadeo,,"4717005",53.13811836930,-108.42112895700,,SK,CA
,Saint-Georges,"2429073",46.09668324570,-70.67787126430,,QC,CA
Westmorland,,"1307001",45.97577746860,-64.17942769960,,NB,CA
Seba Beach,,"4811038",53.56477519890,-114.72505849100,,AB,CA
Golden Days,,"4811023",53.05406277630,-114.05411601100,,AB,CA
Ucluelet,,"5923019",48.94342442330,-125.56139846800,,BC,CA
,Saint-Urbain-Premier,"2470005",45.20971308700,-73.73394216130,,QC,CA
Winterland,,"1002023",47.15268335820,-55.31456314720,,NL,CA
,Huberdeau,"2478065",45.99584303900,-74.66342975440,,QC,CA
Coutts,,"4802002",49.00337171550,-111.96242102500,,AB,CA
Skeena-Queen Charlotte A,,"5947016",54.47387779410,-130.24140695900,,BC,CA
,Schefferville,"2497040",54.81832500260,-66.82262064120,,QC,CA
,Saint-Thomas-Didyme,"2492045",48.94601993600,-72.74744385090,,QC,CA
Beaver Ranch 163,,"4817841",58.44055073180,-115.73994272900,,AB,CA
Fort Severn 89,,"3560078",56.00256414520,-87.68910484790,,ON,CA
Lanigan,,"4711049",51.84952892400,-105.03134973700,,SK,CA
Moose Jaw No. 161,,"4707038",50.44325110930,-105.50913764600,,SK,CA
Hazlet,,"4708029",50.39962152650,-108.59374527600,,SK,CA
Morin Lake 217,,"4718808",55.10998951270,-105.79390611900,,SK,CA
Bathurst,,"1315011",47.62815194850,-65.63235212630,,NB,CA
,Rivière-Héva,"2489010",48.11540995650,-78.18471175140,,QC,CA
Gros Cap 49,,"3557078",47.99154301620,-84.90262039320,,ON,CA
"Algoma, Unorganized, North Part",,"3557095",47.96595693480,-84.04803655690,,ON,CA
Killarney,,"3552036",46.01844792740,-81.10534801490,,ON,CA
Lord's Cove,,"1002013",46.89904056800,-55.65827193370,,NL,CA
Rat Portage 38A,,"3560069",49.69489684800,-94.59782583010,,ON,CA
God's River 86A,,"4622055",54.83424534930,-94.06227514980,,MB,CA
Prince Edward County,,"3513020",43.97404969440,-77.11979408340,,ON,CA
,Saint-Hilarion,"2416050",47.58081335600,-70.40530318740,,QC,CA
"Division No.  8, Subd. O",,"1008067",49.83190605820,-55.75696149290,,NL,CA
,Havre-Saint-Pierre,"2498040",50.25446949900,-63.43303583010,,QC,CA
Zealandia,,"4712008",51.61638913830,-107.74513578000,,SK,CA
Gerald,,"4705044",50.66586159550,-101.79267767500,,SK,CA
Lezbye  6,,"5941876",51.41694958590,-124.07075688800,,BC,CA
Aroland 83,,"3558076",50.22678669100,-86.96358089980,,ON,CA
Ritchot,,"4602075",49.65435444810,-97.09213860030,,MB,CA
East Kootenay A,,"5901017",49.68649135270,-114.77729798800,,BC,CA
Fraser Valley B,,"5909016",49.35654010650,-121.26570559100,,BC,CA
Shoal Lake (Part) 40,,"4601079",49.61406254870,-95.20349250230,,MB,CA
Miniota,,"4615041",50.19373080270,-100.96821034300,,MB,CA
,Saint-Henri,"2419068",46.68800875520,-71.05652423100,,QC,CA
Brantford,,"3529006",43.15022472010,-80.27217539770,,ON,CA
,Sainte-Anne-des-Lacs,"2477035",45.84814285430,-74.13202023800,,QC,CA
Sarnia 45,,"3538025",42.92329349400,-82.41120982440,,ON,CA
Thompson-Nicola L,,"5933060",50.55970236370,-119.89566175800,,BC,CA
"Division No.  3, Subd. C",,"1003009",47.62900915930,-55.92564159020,,NL,CA
,Grosses-Roches,"2408015",48.99770490340,-67.22909426220,,QC,CA
Puslinch,,"3523001",43.46233388190,-80.17356264960,,ON,CA
,Sainte-Thècle,"2435050",46.84131717210,-72.56774961210,,QC,CA
,Sutton,"2446058",45.09129604200,-72.57931986710,,QC,CA
Lot 27,,"1103006",46.29247037020,-63.66513883020,,PE,CA
Oregon Jack Creek 5,,"5933846",50.59917536160,-121.32129014900,,BC,CA
