CLC,FEATURE_ID,NAME,NOM,PERIM_KM,AREA_KM2,LAT_DD,LON_DD,KIND,USAGE,DEPICTN,PROVINCE_C,COUNTRY_C,WATRBODY_C
"000001",fea1-1,Saint Pierre and Miquelon,Saint-Pierre et Miquelon,185.97190828100,1650.01840968000,46.88926725000,-56.29248784000,land,CLCBaseZone,hybrid,,FR,
"034520",fea1-1000,Manic-3 area,secteur de Manic-3,342.06224304200,5931.56246434000,49.74512052000,-68.42928834000,land,CLCBaseZone,hybrid,QC,CA,
"034530",fea1-1001,Chutes-des-Passes - Pipmuacan Reservoir area,secteur de Chutes-des-Passes - réservoir Pipmuacan,493.70786793900,13565.55112960000,49.47170579000,-70.97330233000,land,CLCBaseZone,hybrid,QC,CA,
"034540",fea1-1002,Labrieville area,secteur de Labrieville,432.44692791400,10724.99068460000,49.43620811000,-69.67622388000,land,CLCBaseZone,hybrid,QC,CA,
"034610",fea1-1004,Forestville area,secteur de Forestville,257.73725285400,3960.47443926000,48.86345272000,-69.12013753000,land,CLCBaseZone,hybrid,QC,CA,
"034620",fea1-1005,Les Escoumins area,secteur Les Escoumins,209.21802069400,2411.53489877000,48.56053959000,-69.70369064000,land,CLCBaseZone,hybrid,QC,CA,
"034710",fea1-1007,Falardeau - Mont-Valin area,secteur de Falardeau - Mont-Valin,243.16806930900,2923.17045516000,48.67817328000,-70.91084912000,land,CLCBaseZone,hybrid,QC,CA,
"034720",fea1-1008,Sainte-Rose-du-Nord area,secteur de Sainte-Rose-du-Nord,181.45267180400,1710.03466991000,48.43684805000,-70.22677221000,land,CLCBaseZone,hybrid,QC,CA,
"034730",fea1-1009,Ville de Saguenay area,secteur de la ville de Saguenay,212.64814987400,1658.85775687000,48.38667527000,-71.16820935000,land,CLCBaseZone,hybrid,QC,CA,
"034740",fea1-1010,Rivière-Éternité - Petit-Saguenay area,secteur de Rivière-Éternité - Petit-Saguenay,214.64017884300,2025.72812280000,48.18283442000,-70.42018905000,land,CLCBaseZone,hybrid,QC,CA,
"034750",fea1-1011,Tadoussac - Baie-Sainte-Catherine area,secteur de Tadoussac - Baie-Sainte-Catherine,172.27303509900,1613.07610705000,48.11051155000,-69.80221746000,land,CLCBaseZone,hybrid,QC,CA,
"034810",fea1-1013,La Malbaie area,secteur de La Malbaie,158.49081447500,1454.57842006000,47.71130956000,-70.15898568000,land,CLCBaseZone,hybrid,QC,CA,
"034820",fea1-1014,Baie-Saint-Paul area,secteur de Baie-Saint-Paul,177.97848460200,1710.37565101000,47.32595746000,-70.62438541000,land,CLCBaseZone,hybrid,QC,CA,
"034910",fea1-1016,Apica Mountain area,secteur du mont Apica,250.56689928000,3888.62979536000,48.03832270000,-71.52363342000,land,CLCBaseZone,hybrid,QC,CA,
"034920",fea1-1017,Grands-Jardins Park area,secteur du parc des Grands-Jardins,292.24717421500,3744.50924527000,47.77609874000,-70.72284057000,land,CLCBaseZone,hybrid,QC,CA,
"034930",fea1-1018,l'Étape area,secteur de l'Étape,285.69751397500,5088.87927699000,47.49606419000,-71.50719724000,land,CLCBaseZone,hybrid,QC,CA,
"035130",fea1-1023,Rimouski Wildlife Reserve area,secteur de la réserve faunique de Rimouski,230.32734799100,2376.28298825000,48.12892300000,-68.04251075000,land,CLCBaseZone,hybrid,QC,CA,
"035410",fea1-1029,Grande-Vallée area,secteur de Grande-Vallée,265.58361032800,3966.70004341000,49.26269697000,-65.24984808000,land,CLCBaseZone,hybrid,QC,CA,
"035420",fea1-1030,Sainte-Anne-des-Monts area,secteur de Sainte-Anne-des-Monts,252.27031491200,3632.27768346000,49.20865813000,-66.28007817000,land,CLCBaseZone,hybrid,QC,CA,
"035510",fea1-1032,Murdochville area,secteur de Murdochville,258.05429317800,4122.61291215000,48.74587112000,-65.21481688000,land,CLCBaseZone,hybrid,QC,CA,
"035520",fea1-1033,Mont-Albert area,secteur du Mont-Albert,277.21531503300,3887.11399741000,48.77445310000,-66.33474427000,land,CLCBaseZone,hybrid,QC,CA,
"035530",fea1-1034,Grande-Rivière - Cascapédia area,secteur de Grande-Rivière - Cascapédia,289.73938763500,3635.33650908000,48.46488955000,-66.21667089000,land,CLCBaseZone,hybrid,QC,CA,
"035610",fea1-1036,New Richmond - Bonaventure area,secteur de New Richmond - Bonaventure,174.63906218200,1820.65904142000,48.18000928000,-65.71758123000,land,CLCBaseZone,hybrid,QC,CA,
"035720",fea1-1040,New Carlisle - Port-Daniel area,secteur de New Carlisle - Port-Daniel,183.72565633500,2075.28344634000,48.18711077000,-65.18047111000,land,CLCBaseZone,hybrid,QC,CA,
"035810",fea1-1042,Forillon National Park - Gaspé area,secteur du parc national de Forillon - Gaspé,251.34952234800,2980.75027964000,48.94078071000,-64.46961647000,land,CLCBaseZone,hybrid,QC,CA,
"036100",fea1-1044,Baie-Comeau,Baie-Comeau,309.76672484800,5076.03307040000,49.32661655000,-68.08099016000,land,CLCBaseZone,hybrid,QC,CA,
"036210",fea1-1046,Baie-Trinité area,secteur de Baie-Trinité,233.03900649400,3334.50327960000,49.58231344000,-67.17063420000,land,CLCBaseZone,hybrid,QC,CA,
"036220",fea1-1047,Sept-Îles - Port-Cartier area,secteur de Sept-Îles - Port-Cartier,528.90038832000,14729.17699880000,50.37651235000,-66.32775784000,land,CLCBaseZone,hybrid,QC,CA,
"036300",fea1-1048,Minganie,Minganie,419.38582598800,9826.64497831000,50.43956219000,-64.00762330000,land,CLCBaseZone,hybrid,QC,CA,
"036400",fea1-1049,Natashquan,Natashquan,432.49170014700,10779.83508560000,50.40887263000,-61.98436664000,land,CLCBaseZone,hybrid,QC,CA,
"036500",fea1-1050,Chevery,Chevery,476.48841333500,13393.76683160000,50.61977205000,-59.96982155000,land,CLCBaseZone,hybrid,QC,CA,
"036600",fea1-1051,Blanc-Sablon,Blanc-Sablon,427.89689382800,8158.68402754000,51.33701121000,-58.09547271000,land,CLCBaseZone,hybrid,QC,CA,
"036900",fea1-1054,QC036900,QC036900,2283.00803176000,84125.17020820000,51.49224094000,-63.23904528000,land,CLCBaseZone,hybrid,QC,CA,
"037110",fea1-1056,Sorel - Yamaska area,secteur de Sorel - Yamaska,128.31446243800,806.61595168100,45.94021133000,-73.02590168000,land,CLCBaseZone,hybrid,QC,CA,
"037120",fea1-1057,Saint-Hyacinthe - Acton Vale area,secteur de Saint-Hyacinthe - Acton Vale,145.82385295500,1396.77649055000,45.66384275000,-72.82828580000,land,CLCBaseZone,hybrid,QC,CA,
"037130",fea1-1058,Verchères - Beloeil area,secteur de Verchères - Beloeil,129.19512483000,970.44013070900,45.65914110000,-73.20859559000,land,CLCBaseZone,hybrid,QC,CA,
